"Filename","LineNumber","Line"
"migration_router.py","398","        ""password"": source_conn.password,  # TODO: Decrypt if encrypted"
"check_all_dbs.py","14","print(f""Connecting to {uri} as {user}..."")"
"check_all_dbs.py","24","    print(f""Found databases: {dbs}"")"
"check_all_dbs.py","31","                print(f""Database '{db}': {count} nodes"")"
"check_all_dbs.py","33","            print(f""Database '{db}': Failed to count ({e})"")"
"check_all_dbs.py","37","    print(f""Error: {e}"")"
"check_llm_config.py","19","    print(""DATABASE_URL not found!"")"
"check_llm_config.py","26","print(""Checking configured LLM Providers in DB:"")"
"check_llm_config.py","29","    print(f""ID: {p.id} | Provider: {p.provider} | Status: {p.status} | Model: {p.default_chat_model} | Endpoint: {p.api_endpoint}"")"
"check_llm_config.py","31","print(""\nDefault Provider:"")"
"check_llm_config.py","34","    print(f""ID: {default.id} | Provider: {default.provider}"")"
"check_llm_config.py","36","    print(""None configured as default."")"
"check_multimodal.py","6","    print(f""Status Code: {response.status_code}"")"
"check_multimodal.py","7","    print(f""Response: {response.json()}"")"
"check_multimodal.py","9","    print(f""Error: {e}"")"
"check_nodes.py","16","        print(f""Node count: {count}"")"
"check_nodes.py","18","        print(f""Error: {e}"")"
"count_workflows.py","15","        print(f""Total Workflow Instances: {count}"")"
"count_workflows.py","19","            print(""\nExamples:"")"
"count_workflows.py","21","                print(f""- {row[0]}: {row[1]} ({row[2]}) - Processed: {row[3]}"")"
"count_workflows.py","23","        print(f""Error checking workflows: {e}"")"
"debug_connections.py","13","        print(""--- OpenSearch Config from AdminConfigService ---"")"
"debug_connections.py","14","        print(config)"
"debug_connections.py","20","            print(f""--- Legacy EncryptedConfig found for 'opensearch': Yes (ID: {row.key}) ---"")"
"debug_connections.py","22","            print(""--- Legacy EncryptedConfig found for 'opensearch': No ---"")"
"debug_connections.py","25","        print(f""Error: {e}"")"
"debug_router_logic.py","15","print(f""Connecting to {uri} DB={db_name} as {user}"")"
"debug_router_logic.py","31","        print(f""Neo4j Driver Version: {neo4j.__version__}"")"
"debug_router_logic.py","34","            print(f""Running query: {DEFAULT_GRAPH_QUERY}"")"
"debug_router_logic.py","37","            print(f""Found {len(records)} records"")"
"debug_router_logic.py","39","                print(""First record keys:"", records[0].keys())"
"debug_router_logic.py","41","                print(""First node:"", n)"
"debug_router_logic.py","43","                     print(""Element ID:"", n.element_id)"
"debug_router_logic.py","45","                     print(""No element_id on node!"")"
"debug_router_logic.py","48","        print(f""Error: {e}"")"
"diagnose_db_config.py","26","    print()"
"diagnose_db_config.py","28","        print(""  Cause: Database authentication failed. Wrong username or password."")"
"diagnose_db_config.py","29","        print(""  Fix:   Check DATABASE_URL in python_backend/.env."")"
"diagnose_db_config.py","30","        print(""         Example: postgresql+psycopg://postgres:yourpassword@127.0.0.1:5432/graphtrace"")"
"diagnose_db_config.py","32","        print(""  Cause: PostgreSQL is not running or is not listening on the configured port."")"
"diagnose_db_config.py","33","        print(""  Fix:   Start PostgreSQL, then verify the host/port in DATABASE_URL."")"
"diagnose_db_config.py","34","        print(""         Check with: pg_isready -h 127.0.0.1 -p 5432"")"
"diagnose_db_config.py","35","        print(""         Or with Docker: docker ps | findstr postgres"")"
"diagnose_db_config.py","37","        print(""  Cause: The target database does not exist in PostgreSQL."")"
"diagnose_db_config.py","38","        print(""  Fix:   Create it: createdb -U postgres graphtrace"")"
"diagnose_db_config.py","39","        print(""         Then seed schema: python -m scripts.init_db_schema"")"
"diagnose_db_config.py","41","        print(""  Cause: PostgreSQL connection timed out. Host may be unreachable."")"
"diagnose_db_config.py","42","        print(""  Fix:   Verify the host/port in DATABASE_URL and check firewall rules."")"
"diagnose_db_config.py","44","        print(""  Fix:   Check DATABASE_URL in python_backend/.env."")"
"diagnose_db_config.py","45","        print(""         Then run: python -m scripts.init_db_schema"")"
"diagnose_db_config.py","46","    print()"
"diagnose_db_config.py","53","    print(f""DATABASE_URL (redacted): {url_redacted}"")"
"diagnose_db_config.py","57","        print(f""[FAIL] DB connectivity: {err}"")"
"diagnose_db_config.py","61","    print(""[OK]  DB connectivity: OK"")"
"diagnose_db_config.py","70","            print(f""[OK]  EncryptedConfig keys present: {', '.join(sorted(keys))}"")"
"diagnose_db_config.py","72","            print(""[WARN] EncryptedConfig table is empty. Run: python -m scripts.init_db_schema"")"
"diagnose_db_config.py","78","                print(f""[WARN] Missing config key: {key}"")"
"diagnose_db_config.py","79","                print(""       Fix: python -m scripts.init_db_schema  (seeds default values)"")"
"diagnose_db_config.py","83","                print(f""[OK]  Decrypt OK: {key} (type={type(payload).__name__})"")"
"diagnose_db_config.py","85","                print(f""[FAIL] Decrypt FAIL: {key}: {exc}"")"
"diagnose_db_config.py","86","                print(""  Cause: GRAPH_TRACE_CONFIG_ENCRYPTION_KEY does not match the key used"")"
"diagnose_db_config.py","87","                print(""         when this config value was originally encrypted."")"
"diagnose_db_config.py","88","                print(""  Fix 1: Restore the original encryption key in python_backend/.env."")"
"diagnose_db_config.py","89","                print(""  Fix 2: If the key is lost, reset encrypted config:"")"
"diagnose_db_config.py","90","                print(""           Set GRAPH_TRACE_ALLOW_RESET_ENCRYPTED_CONFIG=true in .env"")"
"diagnose_db_config.py","91","                print(""           Then run: python -m scripts.init_db_schema"")"
"diagnose_db_config.py","102","            print(f""{status} {key} config: {present}"")"
"diagnose_db_config.py","108","    print("
"diagnose_mcp.py","87","    def print(self) -> None:"
"diagnose_mcp.py","89","        print(f""  {icon} {self.label}"")"
"diagnose_mcp.py","92","                print(f""         \033[93mCause:\033[0m  {self.root_cause}"")"
"diagnose_mcp.py","94","                print(f""         \033[96mFix:\033[0m    {step}"")"
"diagnose_mcp.py","389","    print(""\n\033[1m================================================\033[0m"")"
"diagnose_mcp.py","390","    print(""\033[1m   GraphTrace MCP Cluster Diagnostics\033[0m"")"
"diagnose_mcp.py","391","    print(""\033[1m================================================\033[0m\n"")"
"diagnose_mcp.py","396","    print(""\033[1m[1] Python Environment\033[0m"")"
"diagnose_mcp.py","398","    r.print()"
"diagnose_mcp.py","401","        r.print()"
"diagnose_mcp.py","405","    print(""\n\033[1m[2] Environment Variables\033[0m"")"
"diagnose_mcp.py","407","        r.print()"
"diagnose_mcp.py","411","    print(""\n\033[1m[3] Core Services\033[0m"")"
"diagnose_mcp.py","414","        r.print()"
"diagnose_mcp.py","418","    print(""\n\033[1m[4] Agent Services\033[0m"")"
"diagnose_mcp.py","420","        r.print()"
"diagnose_mcp.py","424","    print(""\n\033[1m[5] MCP Agent Registry\033[0m"")"
"diagnose_mcp.py","426","    r.print()"
"diagnose_mcp.py","431","    print(f""\n{'=' * 48}"")"
"diagnose_mcp.py","433","        print(""\033[92m[OK]  All checks passed. MCP cluster is healthy.\033[0m\n"")"
"diagnose_mcp.py","436","    print(f""\033[91m[FAIL]  {len(failures)} issue(s) found:\033[0m"")"
